OBJECTID,BASINID,COUNT,AREA,SUM
146,146,36,0.0625000,11704.8750000
147,147,111,0.1927083,9515.0478516
148,148,29,0.0503472,3379.4787598
149,149,69,0.1197917,7476.8242188
150,150,7,0.0121528,785.7087402
151,151,38,0.0659722,11999.9335938
152,152,261,0.4531250,67158.8828125
153,153,14,0.0243056,10783.5263672
154,154,125,0.2170139,56989.0781250
155,155,160,0.2777778,1045.0092773
156,156,175,0.3038194,1262.2027588
157,157,102,0.1770833,4117.5615234
158,158,9,0.0156250,237.4289551
159,159,16,0.0277778,325.9592285
160,160,71,0.1232639,1601.2463379
161,161,386,0.6701389,9087.2333984
162,162,301,0.5225694,7791.1811523
163,163,35,0.0607639,50519.2890625
164,164,56,0.0972222,135614.7656250
165,165,142,0.2465278,111499.5468750
166,166,2,0.0034722,507.2656860
167,167,276,0.4791667,134338.7812500
168,168,211,0.3663194,135064.4687500
169,169,38,0.0659722,24405.7246094
170,170,8,0.0138889,4037.8488770
171,171,63,0.1093750,57903.2304688
172,172,494,0.8576389,234736.9375000
173,173,196,0.3402778,32551.9218750
174,174,96,0.1666667,16382.5498047
175,175,22,0.0381944,4148.4296875
176,176,39,0.0677083,5964.8666992
177,177,46,0.0798611,4076.9567871
178,178,73,0.1267361,11227.5908203
179,179,143,0.2482639,525213.1875000
180,180,48,0.0833333,24808.2714844
181,181,49,0.0850694,28156.9179688
182,182,5,0.0086806,1432.1773682
183,183,90,0.1562500,22801.7968750
184,184,46,0.0798611,12212.5087891
185,185,79,0.1371528,16964.5722656
186,187,232,0.4027778,20645.0839844
187,188,149,0.2586806,7701.2993164
188,189,20,0.0347222,743.5819092
189,190,2,0.0034722,56.6115608
190,191,346,0.6006944,32236.0273438
191,192,168,0.2916667,58466.0312500
192,193,56,0.0972222,10632.8408203
193,194,153,0.2656250,20572.9082031
194,195,73,0.1267361,3732.4663086
195,196,105,0.1822917,5169.0712891
196,197,17,0.0295139,667.1211548
197,198,34,0.0590278,1357.7987061
198,199,3,0.0052083,120.1822662
199,200,97,0.1684028,6469.1162109
200,201,11,0.0190972,1593.5163574
201,202,1,0.0017361,139.4649353
202,203,73,0.1267361,10481.9345703
203,204,3,0.0052083,431.7436523
204,205,12,0.0208333,1725.5524902
205,206,73,0.1267361,8397.1123047
206,207,49,0.0850694,1129.0205078
207,208,204,0.3541667,9120.9511719
208,209,275,0.4774306,51012.6289063
209,210,187,0.3246528,1355644.2500000
210,211,32,0.0555556,171358.9218750
211,212,10,0.0173611,49946.0234375
212,213,54,0.0937500,79188.7578125
213,214,80,0.1388889,28906.9667969
214,215,22,0.0381944,437.8231201
215,216,19,0.0329861,5420.9648438
216,217,68,0.1180556,36960.8242188
217,218,57,0.0989583,64149.0507813
218,219,133,0.2309028,905411.4375000
219,220,41,0.0711806,374333.5625000
220,221,33,0.0572917,63134.4453125
221,222,88,0.1527778,414353.1562500
222,223,54,0.0937500,253054.6406250
223,224,29,0.0503472,20804.7207031
224,225,25,0.0434028,17665.5410156
225,226,105,0.1822917,748519.0000000
226,227,14,0.0243056,8233.0908203
227,228,165,0.2864583,3418213.0000000
228,229,28,0.0486111,28249.7968750
229,230,38,0.0659722,14267.2724609
230,231,53,0.0920139,44312.5937500
231,232,74,0.1284722,24040.5429688
232,233,50,0.0868056,5048.2983398
233,234,12,0.0208333,93.4091797
234,235,1,0.0017361,0.0000000
235,236,3,0.0052083,31864.7734375
236,237,4,0.0069444,77.5116577
237,238,3,0.0052083,58.3532028
238,239,24,0.0416667,207.3618469
239,240,18,0.0312500,31.3661613
240,241,47,0.0815972,82.6752701
241,243,14,0.0243056,171.6557312
242,244,76,0.1319444,6139.9321289
243,245,15,0.0260417,1215.2087402
244,246,1,0.0017361,1901.2886963
245,247,8,0.0138889,19741.1250000
